brand,model,model_year,mileage,fuel_type,price,age
tesla,model 3 standard range,2020.0,37170.92598,electric,29900.0,3.0
porsche,taycan,2022.0,3405.36344,electric,90998.0,1.0
tesla,model s,2014.0,99120.85994,electric,29890.0,9.0
tesla,model s,2014.0,112591.03574,electric,32990.0,9.0
tesla,model s,2014.0,99120.85994,electric,29890.0,9.0
tesla,model s,2016.0,38472.88204,electric,58989.0,7.0
tesla,model s signature,2014.0,100725.37192,electric,32990.0,9.0
tesla,model s,2014.0,99120.85994,electric,29890.0,9.0
tesla,model s,2016.0,38472.88204,electric,58989.0,7.0
tesla,model s,2014.0,112591.03574,electric,32990.0,9.0
tesla,model s,2014.0,99120.85994,electric,29890.0,9.0
chevrolet,bolt ev,2018.0,68124.97154,electric,22995.0,5.0
chevrolet,bolt ev,2018.0,68124.97154,electric,22995.0,5.0
chevrolet,bolt ev,2018.0,68124.97154,electric,22995.0,5.0
chevrolet,bolt ev,2018.0,68124.97154,electric,22995.0,5.0
chevrolet,bolt ev,2018.0,68124.97154,electric,22995.0,5.0
kia,soul ev,2018.0,52448.3906,electric,14499.0,5.0
kia,soul ev,2018.0,24059.633,electric,16999.0,5.0
mercedes-benz,b-class,2017.0,23325.77396,electric,20194.0,6.0
kia,soul ev,2018.0,52448.3906,electric,14499.0,5.0
kia,soul ev,2018.0,52448.3906,electric,14499.0,5.0
kia,soul ev,2018.0,24059.633,electric,16999.0,5.0
kia,soul ev,2018.0,24059.633,electric,16999.0,5.0
nissan,leaf,2014.0,73546.838,electric,9000.0,9.0
nissan,leaf,2013.0,99943.23268,electric,6999.0,10.0
nissan,leaf,2020.0,22921.82962,electric,22995.0,3.0
kia,soul ev,2018.0,52448.3906,electric,14499.0,5.0
chevrolet,bolt ev,2018.0,59531.09594,electric,20995.0,5.0
kia,soul ev,2018.0,24059.633,electric,16999.0,5.0
kia,soul ev,2018.0,52448.3906,electric,14499.0,5.0
nissan,leaf,2020.0,22530.76,electric,22995.0,3.0
tesla,model 3 standard range,2020.0,36280.96096,electric,37990.0,3.0
tesla,model s signature,2014.0,100725.37192,electric,32990.0,9.0
nissan,leaf,2012.0,78696.726,electric,5500.0,11.0
fiat,500e,2018.0,160934.0,electric,500.0,5.0
bmw,i3,2017.0,60894.20692,electric,15899.0,6.0
nissan,leaf,2019.0,30363.41778,electric,19287.0,4.0
nissan,leaf,2020.0,4341.99932,electric,19287.0,3.0
nissan,leaf,2014.0,119413.028,electric,5500.0,9.0
tesla,model 3 standard range,2020.0,36280.96096,electric,37990.0,3.0
volkswagen,e-golf,2018.0,41.84284,electric,18687.0,5.0
fiat,500e,2018.0,160934.0,electric,500.0,5.0
nissan,leaf,2020.0,37782.47518,electric,21287.0,3.0
fiat,500e,2018.0,160934.0,electric,500.0,5.0
nissan,leaf,2020.0,16074.08792,electric,18987.0,3.0
tesla,model s,2015.0,112611.95716,electric,37988.0,8.0
tesla,model 3 standard range,2020.0,36280.96096,electric,37990.0,3.0
tesla,model s signature,2014.0,100725.37192,electric,32990.0,9.0
tesla,model 3 standard range,2020.0,34634.60614,electric,39590.0,3.0
kia,soul ev,2019.0,21737.35538,electric,16752.0,4.0
fiat,500e,2017.0,13518.456,electric,9750.0,6.0
nissan,leaf,2014.0,133918.00942,electric,5995.0,9.0
chevrolet,bolt ev,2022.0,3.21868,electric,33397.0,1.0
nissan,leaf,2017.0,68446.83954,electric,11974.0,6.0
nissan,leaf,2017.0,68446.83954,electric,11974.0,6.0
nissan,leaf,2017.0,68446.83954,electric,11974.0,6.0
nissan,leaf,2017.0,68446.83954,electric,11974.0,6.0
nissan,leaf,2017.0,68446.83954,electric,11974.0,6.0
nissan,leaf,2012.0,84322.97864,electric,5995.0,11.0
tesla,model 3 standard range,2020.0,34634.60614,electric,39590.0,3.0
nissan,leaf,2012.0,84322.97864,electric,5995.0,11.0
tesla,model 3 standard range,2020.0,34634.60614,electric,39590.0,3.0
fiat,500e,2018.0,26332.02108,electric,9500.0,5.0
tesla,model 3 standard range,2020.0,34634.60614,electric,39590.0,3.0
nissan,leaf,2012.0,82076.34,electric,4999.0,11.0
fiat,500e,2018.0,26330.41174,electric,9995.0,5.0
fiat,500e,2018.0,26330.41174,electric,9995.0,5.0
nissan,leaf,2012.0,82076.34,electric,4999.0,11.0
volkswagen,e-golf,2017.0,59740.31014,electric,14991.0,6.0
nissan,leaf,2016.0,63568.93,electric,6800.0,7.0
bmw,i3,2015.0,116028.58598,electric,155.0,8.0
fiat,500e,2016.0,74029.64,electric,7400.0,7.0
jaguar,i-pace,2020.0,13392.92748,electric,49985.0,3.0
fiat,500e,2016.0,104607.1,electric,7200.0,7.0
chevrolet,bolt ev,2018.0,47604.2772,electric,19900.0,5.0
tesla,model 3 standard range,2020.0,34634.60614,electric,39590.0,3.0
nissan,leaf,2012.0,119252.094,electric,5500.0,11.0
chevrolet,bolt ev,2018.0,47604.2772,electric,19900.0,5.0
nissan,leaf,2012.0,59545.58,electric,4400.0,11.0
tesla,model s signature,2014.0,100725.37192,electric,32990.0,9.0
tesla,model 3 standard range,2020.0,34634.60614,electric,39590.0,3.0
nissan,leaf,2014.0,60210.23742,electric,6950.0,9.0
volkswagen,e-golf,2017.0,59740.31014,electric,14991.0,6.0
tesla,model 3 standard range,2020.0,34634.60614,electric,39590.0,3.0
bmw,i3,2019.0,30664.36436,electric,19991.0,4.0
tesla,model s,2017.0,85295.02,electric,41500.0,6.0
fiat,500e,2017.0,8383.05206,electric,9499.0,6.0
bmw,i3,2017.0,32307.5005,electric,17500.0,6.0
fiat,500e,2016.0,74029.64,electric,7400.0,7.0
tesla,model 3 standard range,2020.0,28672.00144,electric,37990.0,3.0
chevrolet,bolt ev,2018.0,100662.60766,electric,18759.0,5.0
tesla,model s,2014.0,194392.1786,electric,348.0,9.0
nissan,leaf,2012.0,41744.67026,electric,17000.0,11.0
nissan,leaf,2017.0,63568.93,electric,8999.0,6.0
tesla,model 3 standard range,2020.0,23382.10086,electric,37590.0,3.0
tesla,model s signature,2014.0,100725.37192,electric,32990.0,9.0
tesla,model 3 standard range,2020.0,37106.55238,electric,36590.0,3.0
tesla,model 3 standard range,2020.0,17813.78446,electric,38990.0,3.0
volkswagen,e-golf,2017.0,59740.31014,electric,14991.0,6.0
volkswagen,e-golf,2017.0,59740.31014,electric,14991.0,6.0
fiat,500e,2018.0,48589.19328,electric,9950.0,5.0
nissan,leaf,2014.0,62197.77232,electric,6988.0,9.0
fiat,500e,2017.0,21328.58302,electric,8500.0,6.0
nissan,leaf,2013.0,67592.28,electric,5000.0,10.0
bmw,i3,2015.0,116028.58598,electric,155.0,8.0
tesla,model s,2015.0,98675.07276,electric,36995.0,8.0
tesla,model s,2015.0,73675.5852,electric,39979.0,8.0
nissan,leaf,2014.0,120481.62976,electric,5990.0,9.0
nissan,leaf,2012.0,88637.61918,electric,4997.0,11.0
tesla,model 3 standard range,2020.0,34634.60614,electric,39590.0,3.0
tesla,model s,2015.0,73675.5852,electric,39979.0,8.0
tesla,model s,2015.0,98675.07276,electric,36995.0,8.0
tesla,model s,2015.0,98675.07276,electric,36995.0,8.0
bmw,i3,2019.0,18531.5501,electric,19900.0,4.0
chevrolet,bolt ev,2019.0,28139.3099,electric,22499.0,4.0
tesla,model 3 standard range,2020.0,28672.00144,electric,37990.0,3.0
bmw,i3,2015.0,73675.5852,electric,13900.0,8.0
kia,soul ev,2017.0,65822.006,electric,11500.0,6.0
nissan,leaf,2014.0,134342.87518,electric,6499.0,9.0
chevrolet,bolt ev,2018.0,60049.30342,electric,17999.0,5.0
chevrolet,bolt ev,2018.0,60049.30342,electric,17999.0,5.0
tesla,model 3 standard range,2020.0,34634.60614,electric,39590.0,3.0
nissan,leaf,2012.0,168980.7,electric,5000.0,11.0
tesla,model 3 standard range,2020.0,28672.00144,electric,37990.0,3.0
nissan,leaf,2014.0,96454.18356,electric,6500.0,9.0
chevrolet,bolt ev,2019.0,11096.3993,electric,22994.0,4.0
tesla,model 3 standard range,2020.0,34634.60614,electric,39590.0,3.0
bmw,i3,2015.0,69917.7763,electric,11950.0,8.0
tesla,model s,2015.0,184470.5975,electric,32999.0,8.0
fiat,500e,2018.0,48589.19328,electric,9950.0,5.0
tesla,model s,2014.0,79826.48268,electric,29993.0,9.0
tesla,model s,2013.0,94951.06,electric,33000.0,10.0
tesla,model s,2016.0,57268.3639,electric,39000.0,7.0
fiat,500e,2018.0,26393.176,electric,11500.0,5.0
tesla,model 3 standard range,2020.0,34634.60614,electric,39590.0,3.0
chevrolet,bolt ev,2018.0,54025.5438,electric,16800.0,5.0
nissan,leaf,2012.0,78567.9788,electric,4800.0,11.0
nissan,leaf,2017.0,43064.32906,electric,11999.0,6.0
nissan,leaf,2014.0,110848.12052,electric,4000.0,9.0
chevrolet,bolt ev,2018.0,54025.5438,electric,16800.0,5.0
tesla,model 3 standard range,2020.0,34634.60614,electric,39590.0,3.0
nissan,leaf,2016.0,33969.94872,electric,10995.0,7.0
nissan,leaf,2016.0,33969.94872,electric,10995.0,7.0
tesla,model s,2019.0,31098.88616,electric,63995.0,4.0
tesla,model 3 standard range,2020.0,17302.01434,electric,37590.0,3.0
nissan,leaf,2014.0,109756.988,electric,4895.0,9.0
nissan,leaf,2014.0,64373.6,electric,6750.0,9.0
kia,soul ev,2017.0,77937.11752,electric,10499.0,6.0
nissan,leaf,2015.0,104211.20236,electric,6249.0,8.0
nissan,leaf,2020.0,75527.93554,electric,19289.0,3.0
tesla,model s,2015.0,76794.48612,electric,43495.0,8.0
tesla,model s,2020.0,11909.116,electric,74500.0,3.0
nissan,leaf,2016.0,104705.26974,electric,7998.0,7.0
tesla,model s,2014.0,113376.39366,electric,29995.0,9.0
fiat,500e,2016.0,73435.79354,electric,8999.0,7.0
nissan,leaf,2013.0,114018.52032,electric,6900.0,10.0
tesla,model s signature,2014.0,100725.37192,electric,32990.0,9.0
tesla,model 3 standard range,2020.0,36280.96096,electric,37990.0,3.0
tesla,model 3 standard range,2020.0,30567.80396,electric,37590.0,3.0
tesla,model 3 standard range,2020.0,37106.55238,electric,36590.0,3.0
tesla,model s signature,2014.0,100725.37192,electric,32990.0,9.0
tesla,model 3 standard range,2021.0,16590.68606,electric,39990.0,2.0
bmw,i3,2018.0,38929.9346,electric,21900.0,5.0
tesla,model 3 standard range,2021.0,15554.2711,electric,38990.0,2.0
tesla,model s signature,2014.0,100725.37192,electric,32990.0,9.0
tesla,model 3 standard range,2020.0,37106.55238,electric,36590.0,3.0
tesla,model 3 standard range,2021.0,15554.2711,electric,38990.0,2.0
nissan,leaf,2014.0,83685.68,electric,5100.0,9.0
tesla,model s,2016.0,90129.47736,electric,45500.0,7.0
nissan,leaf,2014.0,82076.34,electric,5200.0,9.0
tesla,model 3 standard range,2020.0,12245.46806,electric,38990.0,3.0
tesla,model s signature,2014.0,100725.37192,electric,32990.0,9.0
nissan,leaf,2014.0,82076.34,electric,5200.0,9.0
tesla,model s signature,2014.0,100725.37192,electric,32990.0,9.0
tesla,model 3 standard range,2020.0,37106.55238,electric,36590.0,3.0
tesla,model s signature,2014.0,100725.37192,electric,32990.0,9.0
tesla,model 3 standard range,2021.0,16590.68606,electric,39990.0,2.0
